bionicx-exec: running untraced pid=27420
apt	3.0.3	installed
base-files	13.8+deb13u6	installed
base-passwd	3.6.7	installed
bash	5.2.37-2+b9	installed
binutils	2.44-3	installed
binutils-aarch64-linux-gnu	2.44-3	installed
binutils-common:arm64	2.44-3	installed
bsdutils	1:2.41-5	installed
ca-certificates	20250419	installed
coreutils	9.7-3	installed
dash	0.5.12-12	installed
debconf	1.5.91	installed
debian-archive-keyring	2025.1	installed
debianutils	5.23.2	installed
diffutils	1:3.10-4	installed
dpkg	1.22.22	installed
findutils	4.10.0-3	installed
gcc-14-base:arm64	14.2.0-19	installed
grep	3.11-4+b1	installed
gzip	1.13-1	installed
hostname	3.25	installed
init-system-helpers	1.69~deb13u1	installed
libacl1:arm64	2.3.2-2+b1	installed
libapt-pkg7.0:arm64	3.0.3	installed
libattr1:arm64	1:2.5.2-3	installed
libaudit-common	1:4.0.2-2	installed
libaudit1:arm64	1:4.0.2-2+b2	installed
libbinutils:arm64	2.44-3	installed
libblkid1:arm64	2.41-5	installed
libbsd0:arm64	0.12.2-2	installed
libbz2-1.0:arm64	1.0.8-6	installed
libc-bin	2.41-12+deb13u3	installed
libc6:arm64	2.41-12+deb13u3	installed
libcap-ng0:arm64	0.8.5-4+b1	installed
libcap2:arm64	1:2.75-10+deb13u1+b1	installed
libcrypt1:arm64	1:4.4.38-1	installed
libctf-nobfd0:arm64	2.44-3	installed
libctf0:arm64	2.44-3	installed
libdb5.3t64:arm64	5.3.28+dfsg2-9	installed
libdebconfclient0:arm64	0.280	installed
libgcc-s1:arm64	14.2.0-19	installed
libgmp10:arm64	2:6.3.0+dfsg-3	installed
libgprofng0:arm64	2.44-3	installed
libhogweed6t64:arm64	3.10.1-1	installed
libjansson4:arm64	2.14-2+b3	installed
liblastlog2-2:arm64	2.41-5	installed
liblz4-1:arm64	1.10.0-4	installed
liblzma5:arm64	5.8.1-1+deb13u1	installed
libmd0:arm64	1.1.0-2+b1	installed
libmount1:arm64	2.41-5	installed
libnettle8t64:arm64	3.10.1-1	installed
libpam-modules:arm64	1.7.0-5	installed
libpam-modules-bin	1.7.0-5	installed
libpam-runtime	1.7.0-5	installed
libpam0g:arm64	1.7.0-5	installed
libpcre2-8-0:arm64	10.46-1~deb13u1	installed
libseccomp2:arm64	2.6.0-2	installed
libselinux1:arm64	3.8.1-1	installed
libsemanage-common	3.8.1-1	installed
libsemanage2:arm64	3.8.1-1	installed
libsepol2:arm64	3.8.1-1	installed
libsframe1:arm64	2.44-3	installed
libsmartcols1:arm64	2.41-5	installed
libsqlite3-0:arm64	3.46.1-7+deb13u1	installed
libssl3t64:arm64	3.5.6-1~deb13u2	installed
libstdc++6:arm64	14.2.0-19	installed
libsystemd0:arm64	257.13-1~deb13u1	installed
libtinfo6:arm64	6.5+20250216-2	installed
libudev1:arm64	257.13-1~deb13u1	installed
libuuid1:arm64	2.41-5	installed
libxxhash0:arm64	0.8.3-2	installed
libzstd1:arm64	1.5.7+dfsg-1	installed
login	1:4.16.0-2+really2.41-5	installed
login.defs	1:4.17.4-2	installed
mawk	1.3.4.20250131-1	installed
mount	2.41-5	installed
ncurses-base	6.5+20250216-2	installed
ncurses-bin	6.5+20250216-2	installed
openssl	3.5.6-1~deb13u2	installed
openssl-provider-legacy	3.5.6-1~deb13u2	installed
passwd	1:4.17.4-2	installed
patchelf	0.18.0-1.4	installed
perl-base	5.40.1-6	installed
sed	4.9-2+deb13u1	installed
sqv	1.3.0-3+b2	installed
sysvinit-utils	3.14-4	installed
tar	1.35+dfsg-3.1	installed
tzdata	2026b-0+deb13u1	installed
util-linux	2.41-5	installed
zlib1g:arm64	1:1.3.dfsg+really1.3.1-1+b1	installed
