08-13 14:33:23.787  2312  6735 I ActivityTaskManager: START u0 {flg=0x10000000 cmp=io.taowen.bx/com.winlator.BionicXActivity} with LAUNCH_MULTIPLE from uid 2000 (BAL_ALLOW_PERMISSION) result code=0
08-13 14:33:23.797  2312  2370 I ActivityManager: Start proc 15014:io.taowen.bx/u0a194 for next-top-activity {io.taowen.bx/com.winlator.BionicXActivity}
08-13 14:33:23.935  2312  2360 V WindowManager: Sent Transition #368 createdAt=08-13 14:33:23.693 via request=TransitionRequestInfo { type = CLOSE, triggerTask = TaskInfo{userId=0 taskId=1066 displayId=0 isRunning=false baseIntent=Intent { flg=0x10000000 cmp=io.taowen.bx/com.winlator.BionicXActivity } baseActivity=null topActivity=null origActivity=null realActivity=ComponentInfo{io.taowen.bx/com.winlator.BionicXActivity} numActivities=0 lastActiveTime=65095675 supportsMultiWindow=true resizeMode=1 isResizeable=true minWidth=-1 minHeight=-1 defaultMinSize=220 token=WCT{RemoteToken{faf43ed Task{b37410 #1066 type=standard A=10194:io.taowen.bx}}} topActivityType=1 pictureInPictureParams=null shouldDockBigOverlays=false launchIntoPipHostTaskId=-1 lastParentTaskIdBeforePip=-1 displayCutoutSafeInsets=null topActivityInfo=null launchCookies=[] positionInParent=Point(0, 0) parentTaskId=-1 isFocused=true isVisible=true isVisibleRequested=true isSleeping=false topActivityInSizeCompat=false topActivityEligibleForLetterboxEducation= false topActivityLetterboxed= false isFromDoubleTap= false topActivityLetterboxVerticalPosition= -1 topActivityLetterboxHorizontalPosition= -1 topActivityLetterboxWidth=-1 topActivityLetterboxHeight=-1 locusId=null displayAreaFeatureId=1 cameraCompatControlState=hidden}, remoteTransition = null, displayChange = null }
08-13 14:33:23.935  2312  6735 W WindowManager: Failed to deliver inset control state change to w=Window{72c3521 u0 io.taowen.bx/com.winlator.BionicXActivity EXITING}
08-13 14:33:23.950 15014 15014 I BionicX : profile=wps-office display=1920x1080@144 socket=filesystem
08-13 14:33:23.966 15014 15041 I BionicX : runtime DNS servers=1
08-13 14:33:23.967 15014 15041 I BionicX : launching WPS Office Writer (AArch64): [/data/user/0/io.taowen.bx/files/bin/bionicx-exec, --cwd, /data/user/0/io.taowen.bx/files/rootfs/opt/kingsoft/wps-office/office6, --argv0, wps, --env, DISPLAY=:0, --env, HOME=/data/user/0/io.taowen.bx/files/homes/wps-office, --env, TMPDIR=/data/user/0/io.taowen.bx/files/run/wps-office, --env, XDG_RUNTIME_DIR=/data/user/0/io.taowen.bx/files/run/wps-office/runtime, --env, GCONV_PATH=/data/user/0/io.taowen.bx/files/rootfs/usr/lib/aarch64-linux-gnu/gconv, --env, LANG=C, --env, QT_QPA_PLATFORM=xcb, --env, QT_X11_NO_MITSHM=1, --env, PATH=/data/user/0/io.taowen.bx/files/rootfs/usr/bin:/data/user/0/io.taowen.bx/files/rootfs/bin:/product/bin:/system/bin, --env, BIONICX_OPEN_PDF=/data/user/0/io.taowen.bx/files/rootfs/opt/kingsoft/wps-office/office6/wpspdf, --env, BIONICX_DNS_SERVERS=172.19.0.2, --env, BIONICX_ROOTFS=/data/user/0/io.taowen.bx/files/rootfs, --env, BIONICX_TMPDIR=/data/user/0/io.taowen.bx/cache, --env, FONTCONFIG_PATH=/data/user/0/io.taowen.bx/files/rootfs/etc/fonts, --env, FONTCONFIG_FILE=fonts.conf, --env, FONTCONFIG_SYSROOT=/data/user/0/io.taowen.bx/files/rootfs, --env, LD_PRELOAD=/data/user/0/io.taowen.bx/files/lib/libbionicx-runtime.so, --, /data/user/0/io.taowen.bx/files/rootfs/opt/kingsoft/wps-office/office6/wps]
08-13 14:33:23.971 15014 15045 I BionicX : bionicx-exec: running untraced pid=15047
08-13 14:33:23.972  2312  6735 D CoreBackPreview: Window{d18d56a u0 io.taowen.bx/com.winlator.BionicXActivity}: Setting back callback OnBackInvokedCallbackInfo{mCallback=android.window.IOnBackInvokedCallback$Stub$Proxy@4e5b6a4, mPriority=0, mIsAnimationCallback=false}
08-13 14:33:23.973  2312  6735 W WindowManager: Failed to deliver inset control state change to w=Window{72c3521 u0 io.taowen.bx/com.winlator.BionicXActivity EXITING}
08-13 14:33:24.021  2312  2360 I ActivityTaskManager: Displayed io.taowen.bx/com.winlator.BionicXActivity for user 0: +242ms
08-13 14:33:24.034  2312  2364 W WindowManager: Failed to deliver inset control state change to w=Window{72c3521 u0 io.taowen.bx/com.winlator.BionicXActivity EXITING}
08-13 14:33:24.072 15014 15040 I WinlatorXRequest: seq=1 opcode=98 data=0 bytes=16
08-13 14:33:24.072 15014 15040 I WinlatorXRequest: seq=2 opcode=156 data=0 bytes=0
08-13 14:33:24.072 15014 15040 I WinlatorXRequest: seq=3 opcode=55 data=0 bytes=16
